Node,Depth,Value,Alpha,Beta
B5,1,-15,-33,-15
B3,2,-33,-33,-15
B5,1,-33,-33,-15
root,0,-33,-33,Infinity
C5,1,Infinity,-33,Infinity
A1,2,-12,-33,Infinity
C5,1,-12,-33,-12
B1,2,-8,-33,-12
C5,1,-12,-33,-12
E1,2,-22,-33,-12
C5,1,-22,-33,-22
A2,2,-12,-33,-22
C5,1,-22,-33,-22
B2,2,-4,-33,-22
C5,1,-22,-33,-22
A3,2,-20,-33,-22
C5,1,-22,-33,-22
B3,2,-40,-33,-22
C5,1,-40,-33,-22
root,0,-33,-33,Infinity
D5,1,Infinity,-33,Infinity
A1,2,-14,-33,Infinity
D5,1,-14,-33,-14
B1,2,-10,-33,-14
D5,1,-14,-33,-14
E1,2,-24,-33,-14
D5,1,-24,-33,-24
A2,2,-14,-33,-24
D5,1,-24,-33,-24
B2,2,-6,-33,-24
D5,1,-24,-33,-24
A3,2,-22,-33,-24
D5,1,-24,-33,-24
B3,2,-42,-33,-24
D5,1,-42,-33,-24
root,0,-33,-33,Infinity
E5,1,Infinity,-33,Infinity
A1,2,-25,-33,Infinity
E5,1,-25,-33,-25
B1,2,-21,-33,-25
E5,1,-25,-33,-25
E1,2,-35,-33,-25
E5,1,-35,-33,-25
root,0,-33,-33,Infinity
